"sex","income2000","totalITPA_10","grade_6yr","highest_edu","len_of_edu","num_field","edu_field","age_start_highedu","qual_job","len_unemp","age_work","age1991","family.income"
"Female",16614.2761275739,NA,NA,NA,NA,NA,"Science",NA,NA,NA,NA,NA,NA
"Female",30036.0090350554,40,8.89999997615816,7,45,1,"Science",19,"Yes",0,25,27,NA
"Male",36505.189438471,41,7.5,5,23,1,"Science",20,"Yes",0,23,26,NA
"Female",4843.81228209152,43,8.5,NA,NA,NA,"Science",NA,NA,NA,NA,25,NA
"Male",11529.786922716,34,7.29999995231626,4,36,1,"Science",NA,"Yes",0,22,26,NA
"Male",8672.77861591428,40,8.5,7,36,1,"Science",19,"Yes",0,24,26,NA
"Male",NA,34,6.59999996423721,3,6,1,"Science",17,"Somewhat",3,19,27,19453.2883262442
"Female",23886.5538798432,29,NA,3,18,1,"Science",16,"Somewhat",0,18,27,NA
"Male",19309.8240249725,34,8.19999992847442,3,9,1,"Science",NA,"No",0,17,23,13526.1776098141
"Male",8945.91580848777,44,NA,5,36,2,"Science",NA,"No",0,24,26,23058.0601540938
"Female",15496.6673562372,32,7.69999998807905,3,19,2,"Science",NA,"No",3,18,24,NA
"Male",36810.4505249986,35,NA,3,9,1,"Science",NA,"Yes",1,21,24,NA
"Male",11770.1274696295,30,7.5,3,18,1,"Science",16,NA,3,18,26,15761.3951524876
"Female",13939.2471572036,23,NA,4,27,2,"Science",24,"No",3,NA,26,38304.8002516092
"Female",15308.6332544532,36,8.59999990463258,7,40,2,"Art",24,NA,0,NA,24,NA
"Female",15541.2371567495,29,8.09999990463258,3,27,1,"Science",19,"Yes",1,24,27,NA
"Female",17165.09,35,7.5,3,18,1,"Science",16,"Yes",0,19,24,25775.6406698589
"Female",16077.59,45,NA,NA,NA,NA,"Science",NA,NA,NA,NA,27,NA
"Male",17815.6424862885,35,NA,3,27,2,"Science",20,"Yes",0,23,23,NA
"Female",6686.47920440383,38,6.69999998807905,3,30,2,"Science",22,NA,3,21,27,20691.9924046332
"Female",10354.49,36,NA,3,27,1,"Science",16,"No",0,18,26,17776.11832357
"Female",16644.3817664105,27,6,3,18,1,"Science",16,"Yes",0,17,24,14954.7658571782
"Female",17999.4718899109,26,8.89999997615816,7,36,1,"Art",NA,NA,0,24,25,NA
"Female",15997.8673770925,35,7.5,3,32,2,"Science",20,"Yes",0,23,24,NA
"Male",16182.3695324207,34,NA,4,36,1,"Science",21,"Yes",0,25,27,NA
"Male",30981.8979334749,30,7.19999998807905,NA,NA,NA,"Science",NA,NA,NA,NA,26,16013.1724784005
"Female",25542.5322037832,46,9,7,45,1,"Art",NA,"Yes",0,24,25,39863.9023299073
"Male",30981.8979334749,34,7.79999995231626,3,18,1,"Science",17,"Somewhat",0,20,23,31045.304781751
"Male",14127.449446914,18,NA,NA,1,1,"Science",NA,"No",0,NA,26,NA
"Female",5944.60226078211,41,NA,4,36,2,"Science",20,"Somewhat",0,22,27,16764.9725096834
"Male",32222.4520790551,42,NA,4,45,2,"Science",19,"Yes",0,22,23,NA
"Male",86093.2131126035,37,8.09999990463258,NA,NA,NA,"Science",NA,NA,NA,NA,25,NA
"Male",17659.9,30,NA,NA,NA,NA,"Science",NA,NA,NA,NA,25,NA
"Male",11927.89,30,8.5,7,36,1,"Science",NA,NA,0,NA,24,NA
"Female",23268.7996259501,36,8.19999992847442,NA,0,NA,"Science",NA,"Yes",0,16,25,NA
"Male",21616.1850605392,30,7.59999996423721,5,27,1,"Science",20,NA,0,24,25,NA
"Male",8152.74154729529,36,7.29999995231626,NA,NA,NA,"Science",NA,NA,NA,NA,23,22264.8858929013
"Male",9639.69100514151,39,NA,3,9,1,"Science",16,NA,0,NA,24,17454.7111961021
"Female",14416.2281166484,40,8.19999992847442,NA,NA,0,"Science",NA,NA,NA,NA,25,37301.0547064869
"Male",16765.4770734628,23,6,3,18,1,"Science",NA,"Yes",0,NA,24,NA
"Male",17815.6424862885,30,NA,3,29,2,"Science",19,"Yes",0,21,26,15113.5352597578
"Male",20570.0561579486,31,NA,3,18,1,"Science",22,"No",0,22,27,NA
"Male",23363.3212406214,35,7.89999997615816,4,21,1,"Science",19,"No",3,21,25,NA
"Male",18354.35,28,5.89999997615816,3,27,1,"Art",21,"Yes",0,23,27,12622.5038809364
"Male",13130.9359826296,38,7.29999995231626,NA,NA,NA,"Science",NA,NA,NA,NA,24,NA
"Male",72122.18,36,NA,4,45,1,"Science",NA,"Yes",0,21,25,NA
"Male",30038.3636660259,40,7.5,NA,NA,NA,"Science",NA,NA,NA,NA,26,28269.6994313566
"Male",37549.1318980176,28,7.09999996423721,NA,NA,NA,"Science",NA,NA,NA,NA,24,NA
"Male",23357.7710390482,35,7.09999996423721,3,27,1,"Science",16,"Yes",0,18,24,25022.6633230907
"Female",8766.6274788798,25,7.09999996423721,NA,NA,NA,"Science",20,NA,NA,NA,25,20788.5322744221
"Female",11326.28,27,NA,4,45,1,"Science",25,"Yes",1,23,26,19831.0384090768
"Female",16317.5926252958,45,8,7,39,2,"Art",19,"Yes",NA,22,25,15402.1457415658
"Female",10868.1356200164,34,7.59999996423721,4,54,1,"Science",19,"Yes",0,22,26,NA
"Female",32288.55,48,NA,7,36,1,"Art",NA,"Yes",0,NA,24,NA
"Male",4516.69,41,NA,NA,NA,NA,"Science",NA,NA,NA,NA,26,NA
"Female",11609.17,40,7.5,NA,0,0,"Science",NA,"Yes",0,20,23,NA
